word,pronunciation,part_of_speech,meaning_vi,example_en,example_vi,topic,level,image_url,collocations,synonyms,antonyms
divide,/dɪˈvaɪd/,v.,"Chia ra, chia",The English Channel divides England from France.,Kênh Anh chia nước Anh khỏi Pháp.,Music,B1,https://audio.tflat.vn/data/cache/images/300x225/d/i/divide2.png,,,
favor,/'feivə/,v.,"Thích, thiện cảm",Sam enjoys the works of several composers but he tends to favor Mozart.,Sam thưởng thức các tác phẩm của vài nhà soạn nhạc nhưng anh có khuynh hướng thiên về Mozart hơn.,Music,B1,https://audio.tflat.vn/data/cache/images/300x225/f/a/favor-v1.jpg,,,
instinct,/in'stiɳkt/,n.,"Bản năng, năng khiếu","The child's ability to play the cello was so natural, it seemed an instinct.","Khả năng chơi đàn cello của cậu bé này quả là trời cho, nó dường như là 1 bản năng.",Music,B1,https://audio.tflat.vn/data/cache/images/300x225/i/n/instinct1.png,,,
prefer,/prɪˈfɜ:r/,v.,Thích hơn,I prefer reading a book to watching TV.,Tôi thích đọc sách hơn xem TV.,Music,B1,https://audio.tflat.vn/data/cache/images/300x225/p/r/prefer1.png,,,
reason,/'ri:zn/,n.,Lý do,Give me one good reason why I should help you.,Cho tôi một lí do tại sao tôi nên giúp bạn.,Music,B1,https://audio.tflat.vn/data/cache/images/300x225/r/e/reason1.jpg,,,
relaxation,"/,ri:læk'seiʃn/",n.,"Thư giãn, giải trí",These powerful relaxation techniques will help you relieve stress.,Những phương pháp thư giãn tuyệt vời này sẽ giúp bạn bớt căng thẳng.,Music,B1,https://audio.tflat.vn/data/cache/images/300x225/r/e/relaxation1.png,,,
taste,/teist/,n.,"Vị giác, nếm, sở thích, thị hiếu",He has very good taste in music.,Anh ấy rất biết thưởng thức âm nhạc.,Music,B1,https://audio.tflat.vn/data/cache/images/300x225/t/a/taste1.png,,,
urge,/ə:dʒ/,v.,"Thúc giục, khuyến cáo",His mother urged him to study the piano.,Mẹ anh ta đã thúc giục anh ta học đàn piano.,Music,B1,https://audio.tflat.vn/data/cache/images/300x225/u/r/urge1.png,,,
train,/treɪn/,n.,Tàu hỏa,We love travelling by train.,Chúng tôi thích đi du lịch bằng tàu hỏa.,Trains,B1,https://audio.tflat.vn/data/cache/images/300x225/t/r/train2.jpg,,,
comprehensive,"/,kɔmpri'hensiv/",adj.,"Bao hàm, toàn diện","Our travel agent gave us a comprehensive travel package, including rail passes.","Người đại lý du lịch của chúng tôi trao cho một gói du lịch toàn diện, kể cả đi tàu lửa.",Trains,B1,https://audio.tflat.vn/data/cache/images/300x225/c/o/comprehensive2.jpg,,,
deluxe,/di'luks ; di'lʌks/,adj.,"Sang trọng, chất lượng cao",My parents decided to splurge on deluxe accommodations for their trip.,Cha mẹ tôi đã quyết định tiêu tiền thoải mái vào tiện nghi xa hoa cho chuyến đi của họ.,Trains,B1,https://audio.tflat.vn/data/cache/images/300x225/d/e/deluxe1.jpg,,,
directory,/dɪˈrektəri/,n.,"Sách hướng dẫn, danh bạ",We consulted the directory to see where the train station was located.,Chúng tôi đã tham khảo danh bạ điện thoại để xem ga xe lửa nằm ở chỗ nào.,Trains,B1,https://audio.tflat.vn/data/cache/images/300x225/d/i/directory2.png,,,
duration,/djuə'reiʃn/,n.,Khoảng thời gian,Mother lent me her spare jacket for the duration of the trip.,Mẹ đã cho tôi mượn chiếc áo khoác để dành của bà cho suốt thời gian chuyến đi (của tôi).,Trains,B1,https://audio.tflat.vn/data/cache/images/300x225/d/u/duration2.jpg,,,
entitle,/ɪnˈtaɪt(ə)l/,v.,Cho phép làm cái gì,"During the holiday rush, a train ticket entitled the passenger to a ride, but not necessarily a seat.","Trong suốt mùa cao điểm nghỉ lễ, vé xe lửa cho phép hành khách lên tàu tàu, nhưng không nhất thiết có một chỗ ngồi.",Trains,B1,https://audio.tflat.vn/data/images_example/300x225/d/u/during_the_ex1_56248d007f8b9afc0c2980c9.jpg,,,
fare,/feə/,n.,Tiền vé,Pay your fare at the ticket office and you will get a ticket to board the train.,Thanh toán cước phí của anh tại phòng vé và anh sẽ nhận được một vé lên tàu.,Trains,B1,https://audio.tflat.vn/data/cache/images/300x225/f/a/fare1.png,,,
offset,/'ɔ:fset/,v.,"Bù lại, đền bù",The high cost of the hotel room offset the savings we made by taking the train instead of the plane.,Chi phí cao của khách sạn bù lại khoản tiết kiệm mà chúng tôi đã có bằng cách đi xe lửa thay vì máy bay.,Trains,B1,https://audio.tflat.vn/data/cache/images/300x225/o/f/offset1.jpg,,,
operate,/'ɔpəreit/,v.,"Vận hành, làm cho hoạt động",The train only operates in this area at the height of the tourist season.,Xe lửa chỉ chạy trong khu vực này vào lúc cao điểm của mùa du lịch.,Trains,B1,https://audio.tflat.vn/data/cache/images/300x225/o/p/operate1.png,,,
punctually,/'pʌɳktjuəli/,adv.,"Đúng giờ, không chậm trễ",Please be on time; the train leaves punctually at noon.,Hãy đến kịp giờ; xe lửa rời ga đúng giờ vào buổi trưa.,Trains,B1,https://audio.tflat.vn/data/cache/images/300x225/p/u/punctually2.jpg,,,
relatively,/'relətivli/,adv.,Tương đối,The train is relatively empty for this time of day.,Đoàn tàu hơi vắng khách vào lúc này trong ngày.,Trains,B1,https://audio.tflat.vn/data/images_example/300x225/t/h/the_train__ex1_56248d167f8b9a040dc661a8.jpg,,,
remainder,/ri'meində/,n.,"Phần còn lại, số dư","The Alaskan frontier has train service in the summer, but for the remainder of the year the tracks are impassable.","Biên giới ở Alaska có dịch vụ xe lửa vào mùa hè, nhưng vào lúc còn lại của năm thì đường ray không thể đi qua được (do bị đóng băng).",Trains,B1,https://audio.tflat.vn/data/cache/images/300x225/r/e/remainder1.png,,,
remote,/rɪˈməʊt/,adj.,"Xa xôi, hẻo lánh",We took the train out of the city and found a remote hotel in the country for the weekend.,Chúng tôi đón xe lửa ra khỏi thành phố và tìm một khách sạn cách biệt ở miền quê vào dịp cuối tuần.,Trains,B1,https://audio.tflat.vn/data/cache/images/300x225/r/e/remote2.png,,,
disk,/disk/,n.,"Đĩa (vi tính, thể thao, đĩa hát...)",Rewritable compact disks are more expensive than read-only CDs.,Đĩa quang có khả năng ghi thì đắt hơn nhiều đĩa CD chỉ đọc.,Electronics,B1,https://audio.tflat.vn/data/cache/images/300x225/d/i/disk1.png,,,
facilitate,/fə'siliteit/,v.,"Làm cho dễ dàng, làm cho thuận tiện",The computer program facilitated the scheduling of appointments.,Chương trình máy tính làm cho việc lập lịch các buổi hẹn được thuận tiện.,Electronics,B1,https://audio.tflat.vn/data/cache/images/300x225/f/a/facilitate1.png,,,
network,/'netwə:k/,v.,"Kết nối, liên kết",More and more PCs are networked together.,Ngày càng nhiều máy tính được kết nối với nhau.,Electronics,B1,https://audio.tflat.vn/data/cache/images/300x225/n/e/network1.jpg,,,
popularity,"/,pɔpju'læriti/",n.,"‹tính/sự› đại chúng, phổ biến, nổi tiếng",This brand of computers was at the height of its popularity.,Thương hiệu máy tính này từng nổi tiếng rất nhiều.,Electronics,B1,https://audio.tflat.vn/data/cache/images/300x225/p/o/popularity1.png,,,
process,/ˈprəʊses/,n.,Quá trình,"Singing contests usually have the same process: auditions, semi-finals, and finals.","Các cuộc thi ca hát thường có quá trình giống nhau: thử giọng, bán kết, và chung kết.",Electronics,B1,https://audio.tflat.vn/data/cache/images/300x225/p/r/process1.png,,,
replace,/ri'pleis/,v.,Thay thế,My father replaced the old plug with a new one.,Ba tôi thay thế cái nắp cũ bằng cái mới.,Electronics,B1,https://audio.tflat.vn/data/cache/images/300x225/r/e/replace1.png,,,
revolution,"/,revə'lu:ʃn/",n.,Cuộc cách mạng,We see a revolution in the computer field almost every day.,Chúng ta thấy một cuộc cách mạng trong lãnh vực máy tính hầu như mỗi ngày.,Electronics,B1,https://audio.tflat.vn/data/cache/images/300x225/r/e/revolution1.png,,,
sharp,/ʃɑ:p/,adj.," thông minh, láu lỉnh",The new employee proved how sharp she was when she mastered the new program in a few days.,Nhân viên mới đã chứng tỏ được cô ấy thông minh đến thế nào khi mà cô đã làm chủ được chương trình mới trong vài ngày.,Electronics,B1,https://audio.tflat.vn/data/cache/images/300x225/s/h/sharp2.jpg,,,
skill,/skil/,n.,"Kỹ năng, kỹ xảo",The software developer has excellent technical skills and would be an asset to our software programming team.,Người phát triển phần mềm có những kỹ năng chuyên môn xuất săc và là một vốn quý đối với đội ngũ lập trình phần mềm của chúng tôi.,Electronics,B1,https://audio.tflat.vn/data/cache/images/300x225/s/k/skill1.jpg,,,
software,/ˈsɒftweə(r)/,n.,"Phần mềm, chương trình máy tính",Many computers come pre-loaded with software.,Nhiều máy tính đã có sẵn phần mềm.,Electronics,B1,https://audio.tflat.vn/data/cache/images/300x225/s/o/software1.jpg,,,
store,/stɔ:/,v.,"Lưu giữ, tích trữ",You can store more data on a zip drive.,Anh có thể lưu trữ dữ liệu nhiều hơn trên ổ đĩa nén.,Electronics,B1,https://audio.tflat.vn/data/cache/images/300x225/s/t/store-lưu_giữ1.jpg,,,
technically,/ˈteknɪkli/,adv.,Nói đến/nói về mặt kỹ thuật; một cách chuyên môn/nghiêm túc,"Technically speaking, the virus infected only script files.",Nói về mặt kỹ thuật thì virus chỉ tác động lên các tập tin script (tập tin kịch bản thi hành).,Electronics,B1,https://audio.tflat.vn/data/cache/images/300x225/t/e/technically.jpg,,,
hotel,/həʊˈtel/,n.,Khách sạn,I live near Horison hotel.,Tôi sống gần khách sạn Horison.,Hotels,B1,https://audio.tflat.vn/data/images_example/300x225/i/_/i_live_nea_ex1_58243d057f8b9aa1078b45b3.png,,,
advanced,/ədˈvɑːnst/,adj.,Tiên tiến,"Since the hotel installed an advanced computer system, all operations have been functioning more smoothly.","Bởi vì khách sạn đã lắp đặt một hệ thống máy tính tiên tiến, mọi hoạt động đang được vận hành trơn tru.",Hotels,B1,https://audio.tflat.vn/data/cache/images/300x225/a/d/advanced1.jpg,,,
chain,/tʃein/,n.,"Dây xích, chuỗi",Budget-priced hotel chains have made a huge impact in the industry.,Chuỗi khách sạn giá rẻ đã tạo ra một tác động to lớn cho nền công nghiệp.,Hotels,B1,https://audio.tflat.vn/data/images_example/300x225/b/u/budget-pri_ex1_56248d167f8b9a040dc661b0.jpg,,,
check-in,//,n.,Sự nhận phòng,Do you know your check-in time ?,Bạn có biết thời gian nhận phòng không?,Hotels,B1,https://audio.tflat.vn/data/cache/images/300x225/c/h/check-in2.jpg,,,
confirm,/kənˈfɜː(r)m/,v.,Xác nhận,Please write to confirm your reservation.,Xin vui lòng viết xác nhận cho việc đặt phòng của bạn.,Hotels,B1,https://audio.tflat.vn/data/cache/images/300x225/c/o/confirm1.jpg,,,
expect,/ɪkˈspekt/,v.,Mong đợi,She expects to see her new baby girl.,Cô ấy mong đợi được gặp con gái bé nhỏ của cô. ,Hotels,B1,https://audio.tflat.vn/data/cache/images/300x225/e/x/expect1.png,,,
housekeeper,"/'haus,ki:pə/",n.,"Quản gia; người coi nhà, người giữ nhà",Eloise's first job at the hotel was as a housekeeper and now she is the manager.,Công việc đầu tiên của Eloise ở khách sạn là người trực buồng và bây giờ cô đã là người quản lý.,Hotels,B1,https://audio.tflat.vn/data/cache/images/300x225/h/o/housekeeper.jpg,,,
notify,/ˈnəʊtɪfaɪ/,v.,Thông báo,They notified the hotel that they had been delayed in traffic and would be arriving late.,Họ đã thông báo với khách sạn rằng họ đã bị chậm trễ trong giao thông và sẽ đến muộn.,Hotels,B1,https://audio.tflat.vn/data/cache/images/300x225/n/o/notify1.jpg,,,
preclude,/pri'klu:d/,v.,"Ngăn ngừa, loại trừ",The horrible rainstorm precluded us from traveling any further.,Cơn mưa giông kinh khủng đã ngăn chúng tôi du hành thêm nữa.,Hotels,B1,https://audio.tflat.vn/data/cache/images/300x225/p/r/preclude2.jpg,,,
quote,/kwout/,v.,Trích dẫn,Can I quote you on that?,Mình có thể trích ý kiến của bạn về vấn đề đó được không?,Hotels,B1,https://audio.tflat.vn/data/cache/images/300x225/q/u/quote.jpg,,,
rate,/reɪt/,n.,"Mức giá, tỉ lệ",The sign in the lobby lists the seasonal rates.,Biển hiệu ở trong hành lang liệt kê các mức giá theo từng mùa.,Hotels,B1,https://audio.tflat.vn/data/cache/images/300x225/r/a/rate1.jpg,,,
reservation,"/,rezə'veiʃn/",n.,"Sự dành trước, sự đặt chổ trước","I know I made a reservation for tonight, but the hotel staff has no record of it in the system.","Tôi biết rằng tôi đã đặt chỗ tối nay, nhưng nhân viên khách sạn không lưu nó vào hệ thống.",Hotels,B1,https://audio.tflat.vn/data/cache/images/300x225/r/e/reservation.jpg,,,
service,/ˈsɜːvɪs/,n.,Dịch vụ,The food was good but the service was very slow.,Thức ăn thì rất ngon nhưng dịch vụ thì quá tồi.,Hotels,B1,https://audio.tflat.vn/data/cache/images/300x225/s/e/service1.jpeg,,,
accept,/ək'sept/,v.,"Nhận, chấp nhận","She accepts the gift with a big smile, and thanks her boyfriend several times.",Cô ấy chấp nhận món quà với nụ cười lớn và cảm ơn bạn trai nhiều lần. ,Banking,B1,https://audio.tflat.vn/data/cache/images/300x225/a/c/accept1.png,,,
balance,/'bæləns/,v.,Quyết toán,It took him over an hour to balance his checkbook.,Nó lấy mất của anh hơn một tiếng đồng hồ để quyết toán tập chi phiếu.,Banking,B1,https://audio.tflat.vn/data/cache/images/300x225/b/a/balance1.png,,,
borrow,/'bɔrou/,v.,"Mượn, vay",Can I borrow your mobile phone for a while? I have lost mine on the train.,Bạn có thể cho tôi mượn điện thoại một chút được không? Tôi vừa đánh mất điện thoại trên tàu.,Banking,B1,https://audio.tflat.vn/data/cache/images/300x225/b/o/borrow1.png,,,
cautiously,/ˈkɔːʃəsli/,adv.,"‹một cách› thận trọng, cẩn thận",Act cautiously when signing contracts and read them thoroughly first.,Hành động thận trọng khi ký các hợp đồng và trước hết hãy đọc chúng kỹ lưỡng.,Banking,B1,https://audio.tflat.vn/data/cache/images/300x225/c/a/cautiously1.png,,,
deduct,/di'dʌkt/,v.,"Lấy đi, trừ đi, khấu trừ","By deducting the monthly fee from her checking account, Yi was able to make her account balance.","Do việc khấu trừ tiền thù lao hàng tháng vào tài khoản vãng lai, Yi đã có thể thực hiện cân bằng thu chi tài khoản của mình.",Banking,B1,https://audio.tflat.vn/data/cache/images/300x225/d/e/deduct1.png,,,
dividend,/'dividend/,n.,"Tiền lãi cổ phần, tiền được cuộc, cái bị chia, số bị chia (toán)",The dividend was calculated and distributed to the group.,Cổ tức được tính toán và phân bổ theo nhóm.,Banking,B1,https://audio.tflat.vn/data/cache/images/300x225/d/i/dividend1.png,,,
down payment,/daʊn ˈpeɪmənt/,n.,Phần tiền trả trước ban đầu,"By making a large down payment, the couple saved a great deal in mortgage interest.","Bằng việc trả trước một phần lớn, đôi vợ chồng tiết kiệm được một khoản lãi cầm cố cao.",Banking,B1,https://audio.tflat.vn/data/cache/images/300x225/d/o/down_payment1.png,,,
mortgage,/ˈmɔːɡɪdʒ/,v.,"Cấm cố, thế chấp",Hiram mortgaged his home to get extra money to invest in his business.,Hiram thế chấp nhà mình để nhận một khoản tiền phụ thêm để đầu tư cho công việc.,Banking,B1,https://audio.tflat.vn/data/cache/images/300x225/m/o/mortgage1.png,,,
restricted,/ris'triktid/,adj.,"Bị hạn chế, bị giới hạn",Access to the safe deposit box vault is restricted to key holders.,Việc vào hầm két bạc được hạn chế trong những người giữ chìa khóa.,Banking,B1,https://audio.tflat.vn/data/cache/images/300x225/r/e/restricted1.png,,,
signature,/'signitʃə/,n.,"Chữ ký, ký hiệu, dấu hiệu",The customer's signature was kept on file for identification purposes.,Chữ ký của khách hàng được lưu trên file nhằm mục đích nhận dạng.,Banking,B1,https://audio.tflat.vn/data/cache/images/300x225/s/i/signature1.jpg,,,
take out,/A/,v.,Rút (tiền),When can I take money out of bank?,Khi nào tôi có thể rút tiền khỏi ngân hàng,Banking,B1,https://audio.tflat.vn/data/cache/images/300x225/t/a/take_out1.jpg,,,
transaction,/træn'zækʃn/,n.,"Sự giao dịch, công việc kinh doanh",Banking transaction will appear on your monthly statement.,Giao dịch ngân hàng sẽ xuất hiện trong thông báo tài khoản ngân hàng mỗi tháng.,Banking,B1,https://audio.tflat.vn/data/cache/images/300x225/t/r/transaction1.jpg,,,
investment,/ɪnˈvest mənt/,n.,Sự đầu tư,Stocks are regarded as good long-term investments.,Cổ phiếu được coi là khoản đầu tư dài hạn tốt.,Investment,B1,https://audio.tflat.vn/data/cache/images/300x225/i/n/investment1.jpg,,,
aggressively,/əˈɡresɪv/,adv.,"Hung hăng, hùng hổ",His ideas were not well received because he spoke so aggressively.,Ý kiến của anh ta không được đón nhận nhiều vì anh ta nói quá hùng hổ.,Investment,B1,https://audio.tflat.vn/data/cache/images/300x225/a/g/aggressively1.jpg,,,
attitude,/'ætitju:d/,n.,Thái độ,Each person has his or her own attitude towards life.,Mỗi người có thái độ sống riêng.,Investment,B1,https://audio.tflat.vn/data/cache/images/300x225/a/t/attitude1.jpg,,,
commit,/kə'mit/,v.,"Gửi, giao, giao phó, ủy nhiệm, ủy thác",It is a good idea to commit a certain percentage of your income to investments.,Ý tưởng tốt là đem một vài % nào đó thu nhập của bạn để đầu tư.,Investment,B1,https://audio.tflat.vn/data/cache/images/300x225/c/o/commit2.jpg,,,
conservative,/kən'sə:vətiv/,adj.,Bảo thủ,My brother is the most conservative person in my family. He always thinks that his idea is right.,Em trai của tôi là người bảo thủ nhất trong gia đình. Em ấy lúc nào cũng nghĩ rằng quan điểm của em ấy là đúng.,Investment,B1,https://audio.tflat.vn/data/cache/images/300x225/c/o/conservative1.png,,,
fund,/fʌnd/,n.,Quỹ (tiết kiệm hoặc dùng cho một hoạt động cụ thể),We subscribe to the charity fund.,Chúng tôi quyên góp cho quỹ từ thiện.,Investment,B1,https://audio.tflat.vn/data/cache/images/300x225/f/u/fund1.jpg,,,
invest,/in'vest/,v.,Đầu tư,Don't invest all of your time in just one project.,Đừng đầu tư tất cả thời gian của bạn vào chỉ một dự án.,Investment,B1,https://audio.tflat.vn/data/cache/images/300x225/i/n/invest1.jpg,,,
long-term,/'lɔɳtə:m/,adj.,"Dài hạn, dài ngày, lâu dài",The CEO's long-term goal was to increase the return on investment.,Mục tiêu dài hạn của giám đốc điều hành (CEO) là gia tăng tiền lãi thu về từ việc đầu tư.,Investment,B1,https://audio.tflat.vn/data/cache/images/300x225/l/o/long-term1.png,,,
portfolio,/pɔ:t'fouljou/,n.,"Danh mục đầu tư, danh sách vốn đầu tư (của 1 cty, ngân hàng...)",Investors are advised to have diverse portfolios.,Nhà đầu tư được khuyên nên có nhiều danh mục đầu tư khác nhau.,Investment,B1,https://audio.tflat.vn/data/cache/images/300x225/p/o/portfolio1.png,,,
pull-out,/ˈpʊl aʊt/,n.,"Rút ra, rút khỏi",The pull-out of the bank has left the company without financing.,Sự rút lui của ngân hàng đã để mặc cho công ty không còn tài chính.,Investment,B1,https://audio.tflat.vn/data/cache/images/300x225/p/u/pull_out1.png,,,
resource,/rɪˈsɔːs/,n.,"Nguồn, nguồn lực",The most important factor for developing the economy is human resources.,Yếu tố quan trọng nhất để phát triển kinh tế là nguồn nhân lực.,Investment,B1,https://audio.tflat.vn/data/cache/images/300x225/r/e/resource1.jpg,,,
return,/ri'tə:n/,n.,"Tiền lãi, tiền lời","Some investors are satisfied with a 15 percent return, while others want to see a much larger return.","Một số nhà đầu tư hài lòng với một khoản lãi 15%, trong khi những người khác thì muốn thấy mức lãi nhiều hơn.",Investment,B1,https://audio.tflat.vn/data/cache/images/300x225/r/e/return1.png,,,
wisely,/waɪz/,adj.,"Khôn ngoan, từng trải, thông thái, uyên bác","If you invest wisely, you will be able to retire early.","Nếu anh đầu tư khôn ngoan, anh sẽ có thể về hưu sớm.",Investment,B1,https://audio.tflat.vn/data/cache/images/300x225/w/i/wisely1.png,,,
contract,/kənˈtrakt/,n.,Hợp đồng,Are you going to break the contract?,Bạn đang định phá vỡ hợp đồng phải không?,Contracts,B1,https://audio.tflat.vn/data/cache/images/300x225/c/o/contracts1.jpg,,,
abide by,/ə'baid/,v.,"Tôn trọng, tuân theo, giữ (lời)",The two parties agreed to abide by the judge's decision.,Hai bên đã đồng ý tuân theo quyết định của tòa án.,Contracts,B1,https://audio.tflat.vn/data/cache/images/300x225/a/b/abide_by.jpg,,,
agreement,/ə'gri:mənt/,n.,"Sự đồng ý, thỏa thuận với nhau","According to the agreement, the caterer will also supply the flowers for the event.","Theo như thỏa thuận, nhà cung cấp lương thực thực phẩm cũng sẽ cung cấp hoa cho sự kiện.",Contracts,B1,https://audio.tflat.vn/data/cache/images/300x225/a/g/agreement1.png,,,
assurance,/ə'ʃuərəns/,n.,"Sự cam đoan, bảo đảm",The sales associate gave his assurance that the missing keyboard would be replaced the next day.,Đối tác bán hàng cam đoan rằng ngày mai bàn phím lỗi sẽ được thay.,Contracts,B1,https://audio.tflat.vn/data/cache/images/300x225/a/s/assurance1.png,,,
cancellation,"/,kænse'leiʃn/",n.,"Sự bãi bỏ, hủy bỏ",The cancellation of her flight caused her problems for the rest of the week.,Việc hủy chuyến bay đã gây cho cô ấy nhiều vấn đề trong những ngày còn lại của tuần.,Contracts,B1,https://audio.tflat.vn/data/cache/images/300x225/c/a/cancellation.jpg,,,
determine,/di'tə:min/,v.,"Xác định, định rõ","After reading the contract, I was still unable to determine if our company was liable for back wages.","Sau khi đọc hợp đồng, tôi vẫn không thể biết được liệu rằng công ty của chúng tôi có phải chịu trách nhiệm hoàn trả lại lương không.",Contracts,B1,https://audio.tflat.vn/data/cache/images/300x225/d/e/determine1.png,,,
engage,/in'geidʤ/,v.,"Thu hút (sự chú ý…), giành được (tình cảm…)","He really wants to engage his classmates, but he doesn't know how to do that.","Cậu ấy thực sự muốn giành được cảm tình của các bạn cùng lớp, nhưng cậu ấy không biết cách làm thế nào.",Contracts,B1,https://audio.tflat.vn/data/cache/images/300x225/e/n/engage.jpg,,,
establish,/is'tæbliʃ/,v.,"Thành lập, thiết lập",This company was established in 2010.,Công ty này được thành lập vào năm 2010.,Contracts,B1,https://audio.tflat.vn/data/cache/images/300x225/e/s/establish1.png,,,
obligate,/'ɔbligeit/,v.,"Bắt buộc, ép buộc",The contractor was obligated by the contract to work 40 hours a week.,Nhà thầu buộc phải làm việc 40 tiếng mỗi tuần.,Contracts,B1,https://audio.tflat.vn/data/cache/images/300x225/o/b/obligate1.png,,,
party,/'pɑ:ti/,n.,"Đảng, phái, nhóm",The parties agreed to settlement in their contract dispute.,Các bên đã nhất trí đi đến một thỏa thuận trong hợp đồng gây tranh cãi của họ.,Contracts,B1,https://audio.tflat.vn/data/images_example/300x225/t/h/the_partie_ex1_56248cf37f8b9af80c011dc1.jpg,,,
provision,/prəˈvɪʒn/,n.,"Dự phòng, điều khoản",The father made provision for his children through his will.,Người cha đã truyền lại di chúc cho những đứa con của mình.,Contracts,B1,https://audio.tflat.vn/data/cache/images/300x225/p/r/provision1.png,,,
resolve,/ri'zɔlv/,v.,Giải quyết,The manager resolved to clean out all the files at the end of the week.,"Cuối tuần, người quản lý đã giải quyết bằng cách xóa sạch tất cả các dữ liệu.",Contracts,B1,https://audio.tflat.vn/data/cache/images/300x225/r/e/resolve1.png,,,
specific,/spəˈsɪfɪk/,adj.,"Cụ thể, rõ ràng, rành mạch",The customer's specific complaint was not addressed in his e-mail.,Khiếu nại cụ thể của khách hàng đã không được giải quyết trong Email gửi anh ấy.,Contracts,B1,https://audio.tflat.vn/data/cache/images/300x225/s/p/specific1.png,,,
desire,/di'zaiə/,v.,"Thèm muốn, khao khát, ao ước",We desire to have our own home.,Chúng tôi ao ước có ngôi nhà riêng.,Financial Statements,B1,https://audio.tflat.vn/data/cache/images/300x225/d/e/desire1.png,,,
detail,/'di:teil/,v.,"Chi tiết, tỉ mỉ",Give me more details of the plan.,Hãy cho tôi biết thêm chi tiết của kế hoạch.,Financial Statements,B1,https://audio.tflat.vn/data/cache/images/300x225/d/e/detail2.png,,,
forecast,/fɔ:'kɑ:st/,v.,"Dự báo, dự đoán, đoán trước",Analysts forecast a strong economic outlook.,Các nhà phân tích dự báo một viễn cảnh kinh tế sung sức.,Financial Statements,B1,https://audio.tflat.vn/data/cache/images/300x225/f/o/forecast1.png,,,
level,/'levl/,n.,"Cấp, cấp bậc, trình độ",We have never had an accountant work at such a sophisticated level before.,Trước đây chúng tôi không bao giờ có một nhân viên kế toán làm với trình độ tinh vi đến thế.,Financial Statements,B1,https://audio.tflat.vn/data/cache/images/300x225/l/e/level1.png,,,
overall,/'ouvərɔ:l/,adj.,"Toàn bộ, toàn thể, tất cả; nói chung",The person with overall responsibility for the project.,Người chịu trách nhiệm toàn bộ cho dự án.,Financial Statements,B1,https://audio.tflat.vn/data/cache/images/300x225/o/v/overall1.png,,,
perspective,/pə'spektiv/,n.,"Góc nhìn, khía cạnh",Parents and children usually see things from different perspectives.,"Cha mẹ và con cái thường quan sát sự vật, sự việc từ góc nhìn khác nhau.",Financial Statements,B1,https://audio.tflat.vn/data/images_example/300x225/p/a/parents_an_ex1_580de47b7f8b9a84688b45c0.jpg,,,
project,/ˈprɒdʒekt/,v.,"Kế hoạch, đồ án, dự án",The director projects that the company will need to hire ten new employees his year.,Người giám đốc lập kế hoạch là công ty sẽ cần phải thuê 10 nhân viên mới trong năm nay.,Financial Statements,B1,https://audio.tflat.vn/data/cache/images/300x225/p/r/project2.png,,,
realistic,/riə'listik/,adj.,"Hiện thực, thực tế",Stefano found that an accurate accounting gave him a realistic idea of his business's financial direction.,Stefano thấy rằng công việc kế toán chính xác đã cho anh một ý niệm thực tế về việc quản trị tài chính trong công việc của mình.,Financial Statements,B1,https://audio.tflat.vn/data/images_example/300x225/t/h/the_realis_ex2_56248d157f8b9a040dc66024.jpg,,,
target,/'tɑ:git/,n.,"Mục tiêu, mục đích",The airport terminal was the target of a bomb.,Trạm đến sân bay là mục tiêu của quả bom.,Financial Statements,B1,https://audio.tflat.vn/data/cache/images/300x225/t/a/target2.png,,,
translation,/træns'leiʃn/,n.,"Bản dịch, bài dịch",The translation of the statement from Japanese into English was very helpful.,Bản dịch báo cáo từ tiếng Nhật sang tiếng Anh là rất có ích.,Financial Statements,B1,https://audio.tflat.vn/data/cache/images/300x225/t/r/translation2.png,,,
typically,/ˈtɪpɪkli/,adv.,"Tiêu biểu, điển hình","Office expenses typically include such things as salaries, rent, and office supplies.","Các chi phí văn phòng bao gồm tiêu biểu những thứ như là: tiền lương, tiền thuê và đồ dùng dự trữ văn phòng.",Financial Statements,B1,https://audio.tflat.vn/data/cache/images/300x225/t/y/typically1.png,,,
yield,/jiːld/,v.,Sinh lợi,The company's investment yielded high returns.,Việc đầu tư của công ty đã mang lại tiền lãi cao hơn.,Financial Statements,B1,https://audio.tflat.vn/data/cache/images/300x225/y/i/yield2.png,,,
appeal,/əˈpiːl/,n.,"Sức hấp dẫn, lôi cuốn",A restaurant with good food and reasonable prices has a lot of appeal.,Một nhà hàng có thức ăn ngon và giá cả phải chăng có sức hút rất mạnh.,Selecting A Restaurant,B1,https://audio.tflat.vn/data/images_example/300x225/a/_/a_restaura_ex1_56248d127f8b9a020d261a00.jpg,,,
arrive,/ə'raiv/,v.,Đến,What time do you arrive at the airport?,"Khi nào bạn đến sân bay?
",Selecting A Restaurant,B1,https://audio.tflat.vn/data/cache/images/300x225/a/r/arrive1.jpeg,,,
compromise,/'kɔmprəmaiz/,n.,Sự thoả hiệp,After lengthy talks the two sides finally reached a compromise.,Sau cuộc đàm phán kéo dài hai bên cuối cùng đã đạt đến một thỏa hiệp.,Selecting A Restaurant,B1,https://audio.tflat.vn/data/cache/images/300x225/c/o/compromise2.jpg,,,
